postID,text,timestamp,likes,commentCount,community,district
BhZN1_dFRsp,"Kwiecien plecien - w Polsce mamy aktualnie lato, a w Chicago mr<f3>z<U+2744><U+FE0F>
Czapka, szalik i rekawiczki to esencja tej stylizacji<ed><U+00A0><U+00BE><ed><U+00B7><U+00A4><ed><U+00A0><U+00BE><ed><U+00B7><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
Niech Was nie zwioda te promienie slonca<U+2600><U+FE0F> Powiem tylko, ze kilka godzin p<f3>zniej zaczal padac snieg<ed><U+00A0><U+00BC><ed><U+00BC><U+00A8><ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2640><U+FE0F>
.
<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Almost summer in Poland and it<92>s freezing in Chicago this April<U+2744><U+FE0F>
A cap, a scarf and hand gloves are my style essentials<ed><U+00A0><U+00BE><ed><U+00B7><U+00A4><ed><U+00A0><U+00BE><ed><U+00B7><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
Don<92>t be fooled by the sun<U+2600><U+FE0F> Actually it<92>s started snowing soon after taking this photo<ed><U+00A0><U+00BC><ed><U+00BC><U+00A8><ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2640><U+FE0F>
.
.
.
#aprilinchicago #triptotheusa #greenbeauty #greenbeautybloggers #polishblogger #polishgirl #polishgirlinusa #sun #freezing #april #kwiecienplecien #slonce #mr<f3>z #naturalnieproste #nontoxic #chicago #chicagoloop #usatoday #mytime #zimno #wiosna #springtime",1523372054,39,1,LOOP,Central
BhZMnADFUuL,"#ChicagoLand <ed><U+00A0><U+00BC><ed><U+00BC><U+0086>
.
.
#buildings #sunset #lights #bigcitylife #chicagoloop #chicago #downtown #downtownchicago #cityscape #streetphotography #streetlight #architecturephotography #architecture_greatshots #urbanphotography",1523371407,99,4,LOOP,Central
BhZLH_nAVbr,"Need some new mid morning bathroom break reading material?! <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9>. (Don<92>t lie, we all do it). Click the link in the bio!  Thanks @voyagechicago for the feature!  @nkmilitz18 #voyagechicago #readingmaterial #spreadtheword #workhard #makeithappen #happytuesday #chicago",1523370629,60,3,LOOP,Central
BhZK8gnHcGB,"#Repost @r.t._images
<b7><b7><b7>
Success is never so interesting as struggle-not even to the successful.
.
.
#chicago #cta #chicagoland #chi #chicagogram #illinois #cityscape #ctachicago #chicagopulse #chicagoloop #chicagodowntown",1523370534,23,1,LOOP,Central
BhZJyGFhLZk,Reflective moods. #chicagoloop #abstractors_anonymous #architecturephoto #bnwphoto #reflection_perfection #kevindooley,1523369925,239,15,LOOP,Central
BhZHfBQAmPD,"So many tranquil areas in the Chicago Art Institute <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>
<95>
<95>
<95>
<95>
<95>
<95>
#artinstituteofchicago #artmuseum #museum #art #chicago #staircase #rock #gallery #peaceful #tranquility #chicagoloop #fujifilm #vscofilm #travel",1523368720,25,0,LOOP,Central
BhZHOQCBlNa,The Monday shuffle <ed><U+00A0><U+00BE><ed><U+00B5><U+008C> #shuffling #shuffleboard #gamenight #monday #chicagoathleticassociation #chicagoloop #chicago #chitown #chicagolife #chicagogram #lovemycity,1523368583,16,2,LOOP,Central
BhZF7Q6lbV-,"#filmisnotdead ... Su <ed><U+00A0><U+00BE><ed><U+00B4><U+00B3> en el parque. The Crown Fountain es una escultura interactiva que combina video y arte p<fa>blico en Millenium Park. Fue dise<f1>ada por el artista Catal<e1>n Jaume Plensa y fue inaugurada en 2004. /
<ed><U+00A0><U+00BE><ed><U+00B4><U+00B3> in the park. The Crown Fountain is an interactive work of public art and video sculpture featured in Chicago's Millennium Park. Designed by Catalan artist Jaume Plensa.
.
.
.
.
.
.
.
.
.
.
.
.
#film #filmphotography #mediumformat #hasselblad #streetarteverywhere #streetphotography #candid #urbexpeople #urbex #tourist #milleniumpark #chicago #chicagogram #filmcamera #analogphotography #analog #light #cityphotography #people #shotonfilm #ishootfilm #shootfilm #colorfilm #kodakektar #120mm #chicagoloop #theloop #shootzdelight #photooftheday",1523367903,62,2,LOOP,Central
BhZEWo2ln5g,"Doing it for the first time! Botox <ed><U+00A0><U+00BD><ed><U+00B2><U+0089>
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#botox #botoxinjections #chicago #chicagoloop #masterinjector #love #loveyourself #doctor #chicagodoctors #firsttime #april #spring #springcleaning #freshface #antiaging #aginggracefully #aging #beauty #beautiful #happy #injection #fat #fattransfer #lipo #filler #fillers #natural #nomakeup #tuesday #transformationtuesday",1523367412,37,1,LOOP,Central
BhZE4SOA-rY,Bring your Gucci Gang to @blvdchicago.,1523367354,37,4,LOOP,Central
BhZEkSHA92u,"Yup, it<92>s still furry parka weather here in #Chicago.<ed><U+00A0><U+00BD><ed><U+00B8><U+0093> Who needs a Beach ASAP?<ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+0096><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>",1523367190,61,1,LOOP,Central
BhZEI2HHvcO,"Grab your morning coffee from @lunchroom70w. We proudly serve @lacolombecoffee. The quickest cup of coffee in the Loop. <U+2615><U+FE0F>
-
-
-
#coffee #grabngo #chicagoloop #goodmorning",1523366965,7,0,LOOP,Central
BhZCe4lBOwH,"As a new studio, filling up our classes has been difficult at times. @classpass has been a huge support. It<92>s been very exciting getting introduced to so many different yogis around Chicago that may not have otherwise come through our door.
-
Check out our updated profile on Class Pass! Infinity offers weekday and evening yoga classes in the #chicagoloop !!! .
.
.
.
.
.
#yogaclass #chicagoyogi #chitown #southloop #monadnock #yogachicago #yogaeverydamnday #yogaeverywhere #yogapose #mandala #yogaprops #yogaphotography #instayoga #yogisofinstagram #yogatherapy #yogatherapychicago",1523366097,29,2,LOOP,Central
BhY-VYRBXjQ,"""yes sir""
.
credit: @yum_alert
.
C'monBoard Chicago is your guide to the best Chicago happenings. To find out things to do in Chicago, keep an eye on the CB website [link in the bio] .
.
.
.
Make sure to check out our Chicago-themed products at www.cmonstore.com
#citylandscape #citystreets #chicagofood #chitown #ilovechicago #chicagoshots #chicagoland #lifeofchicago #likechicago #igchicago #windycitybloggers #choosechicago #flippinchi #igerschicago #thechieye #chicagoig #chictecture #chicagogrammers #chicagoshot #instachicago #chicagoeats #chicagoloop #mychicagopix #building #cityviews #buildings #cityexplore #chicagobucketlist",1523363922,134,0,LOOP,Central
BhY9IelHBqa,Clothes Make The Man <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+0094>,1523363292,28,3,LOOP,Central
